,name,compound,positive,negative,neutral,sector,market cap,target
47,snowflake,0.176430298,0.073095447,0.03026007,0.896202058,Information Technology,63,0
48,quantumscape,0.1733006,0.073006427,0.030905313,0.895655527,Consumer Discretionary ,21,1
49,activision,0.169282463,0.072839102,0.031595133,0.895142018,Communication Services,70,0
50,draftKings,0.168973492,0.072723606,0.031579749,0.895280922,Consumer Discretionary ,26,1
51,lordstown,0.167040436,0.072562752,0.031836158,0.89519431,Consumer Discretionary ,2,0
52,walgreens,0.168065967,0.072743219,0.031759652,0.895098396,Consumer Staples,45,1
53,spotify,0.170601495,0.072996893,0.031457565,0.895153816,Communication Services,52,0
54,fubotv,0.171089693,0.073130882,0.031608306,0.89487731,Information Technology,2,0
55,northrop grumman,0.172067409,0.073327967,0.031430738,0.894864283,Industrials,52,1
56,berkshire hathaway,0.172531333,0.073410714,0.0313912,0.89482732,Industrials,583,1
57,cisco,0.169911521,0.073212516,0.03183053,0.894592693,Information Technology,207,1
58,ebay,0.173255317,0.073745199,0.031636024,0.894260135,Consumer Discretionary ,41,1
59,qualcomm,0.172717372,0.073629151,0.031628102,0.894390598,Information Technology,149,0
60,corning,0.173073522,0.073508076,0.031377491,0.894768557,Information Technology,32,1
61,oracle,0.173636714,0.073647904,0.031431204,0.894579953,Information Technology,192,1
62,intel,0.174049609,0.073755112,0.031423774,0.894485453,Information Technology,259,1
63,seagate,0.176456163,0.074266656,0.03145523,0.893947618,Information Technology,18,1
64,nextera,0.178965033,0.074757214,0.031290182,0.893627277,Utilities,139,0
65,zscaler,0.178965045,0.075010491,0.031562073,0.893106183,Information Technology,24,0
66,crowdstrike,0.177673739,0.074989978,0.031814125,0.892879267,Information Technology,43,0
67,redfin,0.173379439,0.074734074,0.032529385,0.892424649,Real Estate,7,0
68,roblox,0.175978424,0.075021911,0.03225776,0.892412051,Consumer Discretionary ,37,1
69,citigroup,0.174079004,0.074694511,0.032324835,0.892676365,Financials,152,1
70,docusign,0.174569307,0.074823703,0.032300872,0.892575735,Information Technology,38,0
71,amgen,0.173906573,0.074726862,0.032366856,0.892610698,Health Care,142,1
72,regeneron,0.173447275,0.074665708,0.032412653,0.892630338,Health Care,51,1
73,medtronic,0.17373612,0.074513909,0.032145331,0.893052938,Health Care,157,0
74,microsoft,0.172781686,0.074306217,0.032191683,0.893217866,Information Technology,1738,0
75,arcelormittal,0.177927449,0.075033568,0.031887554,0.892798315,Materials,30,1
76,mattel,0.179847865,0.07534343,0.031751808,0.892627507,Consumer Discretionary ,7,1
77,schlumberger,0.179067089,0.075058736,0.031658898,0.893008622,Energy,38,0
78,ford,0.177843655,0.074696329,0.031612131,0.893420591,Consumer Discretionary ,51,1
79,intuit,0.178529576,0.074603074,0.031389568,0.89373985,Information Technology,104,0
80,pepsi,0.178470936,0.074630596,0.031375373,0.893729467,Consumer Staples,185,1
81,stryker,0.178485085,0.074561507,0.031281907,0.893895182,Health Care,87,0
82,walmart,0.179442152,0.074547468,0.03110038,0.894093924,Consumer Staples,373,1
83,hasbro,0.180120003,0.074651929,0.031108216,0.893984093,Consumer Discretionary ,13,1
84,novartis,0.178371029,0.074423053,0.031278074,0.894046304,Health Care,194,1
85,toyota,0.177328709,0.074084771,0.031264465,0.894401101,Consumer Discretionary ,222,1
86,mastercard,0.177493291,0.07402986,0.031174807,0.894548356,Consumer Discretionary ,7,1
87,fortinet,0.179218578,0.074578017,0.031127479,0.894050299,Information Technology,28,1
88,groupon,0.181219792,0.074859388,0.030991729,0.89390748,Consumer Discretionary ,2,1
89,autodesk,0.181990989,0.074907667,0.030807387,0.89404605,Information Technology,58,0
90,serviceNow,0.183239792,0.075080694,0.030655376,0.894028092,Information Technology,92,0
91,fireeye,0.180912053,0.075055003,0.031120069,0.893591538,Consumer Discretionary ,4,1
92,proofpoint,0.178847115,0.075045485,0.031632949,0.893090179,Information Technology,7,1
93,qualys,0.17708196,0.075069989,0.032103359,0.89248533,Information Technology,4,1
94,fastly,0.177526654,0.075252466,0.032078134,0.892331819,Information Technology,8,0
