name,compound,positive,negative,neutral,sector,market cap,STS,target
seagate,0.176456163,0.074266656,0.03145523,0.893947618,Information Technology,18,Weak,1
nextera,0.178965033,0.074757214,0.031290182,0.893627277,Utilities,139,Weak,0
zscaler,0.178965045,0.075010491,0.031562073,0.893106183,Information Technology,24,Weak,0
crowdstrike,0.177673739,0.074989978,0.031814125,0.892879267,Information Technology,43,Weak,0
redfin,0.173379439,0.074734074,0.032529385,0.892424649,Real Estate,7,Neutral,0
roblox,0.175978424,0.075021911,0.03225776,0.892412051,Consumer Discretionary ,37,Neutral,1
citigroup,0.174079004,0.074694511,0.032324835,0.892676365,Financials,152,Weak,1
docusign,0.174569307,0.074823703,0.032300872,0.892575735,Information Technology,38,Weak,0
amgen,0.173906573,0.074726862,0.032366856,0.892610698,Health Care,142,Strong,1
regeneron,0.173447275,0.074665708,0.032412653,0.892630338,Health Care,51,Strong,1
medtronic,0.17373612,0.074513909,0.032145331,0.893052938,Health Care,157,Weak,0
microsoft,0.172781686,0.074306217,0.032191683,0.893217866,Information Technology,1738,Weak,0
arcelormittal,0.177927449,0.075033568,0.031887554,0.892798315,Materials,30,Strong,1
mattel,0.179847865,0.07534343,0.031751808,0.892627507,Consumer Discretionary ,7,Weak,1
schlumberger,0.179067089,0.075058736,0.031658898,0.893008622,Energy,38,Weak,0
ford,0.177843655,0.074696329,0.031612131,0.893420591,Consumer Discretionary ,51,Weak,1
intuit,0.178529576,0.074603074,0.031389568,0.89373985,Information Technology,104,Weak,0
pepsi,0.178470936,0.074630596,0.031375373,0.893729467,Consumer Staples,185,Strong,1
stryker,0.178485085,0.074561507,0.031281907,0.893895182,Health Care,87,Weak,0
walmart,0.179442152,0.074547468,0.03110038,0.894093924,Consumer Staples,373,Strong,1
hasbro,0.180120003,0.074651929,0.031108216,0.893984093,Consumer Discretionary ,13,Weak,1
novartis,0.178371029,0.074423053,0.031278074,0.894046304,Health Care,194,Strong,1
toyota,0.177328709,0.074084771,0.031264465,0.894401101,Consumer Discretionary ,222,Strong,1
mastercard,0.177493291,0.07402986,0.031174807,0.894548356,Consumer Discretionary ,7,Weak,1
fortinet,0.179218578,0.074578017,0.031127479,0.894050299,Information Technology,28,Weak,1
groupon,0.181219792,0.074859388,0.030991729,0.89390748,Consumer Discretionary ,2,Weak,1
autodesk,0.181990989,0.074907667,0.030807387,0.89404605,Information Technology,58,Weak,0
serviceNow,0.183239792,0.075080694,0.030655376,0.894028092,Information Technology,92,Weak,0
fireeye,0.180912053,0.075055003,0.031120069,0.893591538,Consumer Discretionary ,4,Weak,1
proofpoint,0.178847115,0.075045485,0.031632949,0.893090179,Information Technology,7,Weak,1
qualys,0.17708196,0.075069989,0.032103359,0.89248533,Information Technology,4,Weak,1
fastly,0.177526654,0.075252466,0.032078134,0.892331819,Information Technology,8,Weak,0
