,name,compound,positive,negative,neutral
73,Medtronic,0.17358368099900714,0.074509436639705,0.032166170001419,0.893036753228325
74,Microsoft,0.1725601987960244,0.07428475430491405,0.032212235755284854,0.8932189556208884
75,ArcelorMittal,0.1777082182320453,0.0750122928176802,0.031907872928176755,0.8927994475138136
76,Mattel,0.1796310641200557,0.07532237380627631,0.03177189631650747,0.8926286493860855
77,Schlumberger,0.17881007543103541,0.0750299030172421,0.031685479525862044,0.8930110452586214
78,Ford,0.17755048543689417,0.07466657800239465,0.031646229551802074,0.8934162787604742
79,Intuit,0.17828914871256002,0.07459800315291717,0.03142327903310559,0.8937112454019979
80,Pepsi,0.17823351063829845,0.07462558380903031,0.03140866632070575,0.8937012195121958
81,Stryker,0.17825060858424152,0.07455656630365227,0.03131479820627801,0.8938672645739912
82,Walmart,0.17921040374636182,0.07454258954562784,0.031132894570307542,0.8940663207188966
83,Hasbro,0.17989060738885482,0.07464708829054548,0.031140388227927345,0.893956793988729
84,Novartis,0.17814449121069642,0.074418296608072,0.03130985392423864,0.8940193117108202
85,Toyota,0.17707453522504968,0.07407436399217292,0.031295865949119345,0.8943801369863027
86,Mastercard,0.17724207663483696,0.07401958177203019,0.031205850356581615,0.8945276199685736
87,Fortinet,0.1789700991518343,0.07456779357305046,0.031158165093776096,0.8940298650101552
88,Groupon,0.18097380671077568,0.07484924385633329,0.031022093572778804,0.8938872873345944
89,Autodesk,0.18174758677106528,0.07489762767325055,0.030837443029098948,0.8940260605352349
90,ServiceNow,0.18299889030169994,0.0750707432666749,0.03068512310715521,0.8940083227372563
91,Fireeye,0.1806740338440436,0.07504516350331633,0.03114943974388289,0.8935720329293401
92,Proofpoint,0.17861183391786467,0.07503575065052656,0.031661952709582546,0.8930709356262028
93,Qualys,0.17684930019034878,0.07506035158436956,0.03213201209271081,0.8924663531519431
94,Fastly,0.1772963430851069,0.075242907801419,0.03210649379432627,0.8923130540780148
